try,block_size,grid_size,iterations,concentration,setuptime,runtime,teardowntime
2,16,10000,2000,1.000000,0.523166,0.282348,0.049987
0,32,10000,2000,1.000000,0.533515,0.284823,0.054652
1,32,10000,2000,1.000000,0.523460,0.282263,0.049105
2,32,10000,2000,1.000000,0.530001,0.277725,0.049199
0,4,10000,2500,1.000000,0.534066,0.281764,0.050290
1,4,10000,2500,1.000000,0.523370,0.285605,0.050619
2,4,10000,2500,1.000000,0.526380,0.336265,0.083726
0,8,10000,2500,1.000000,0.593680,0.352075,0.088215
1,8,10000,2500,1.000000,0.594185,0.330532,0.053569
2,8,10000,2500,1.000000,0.522852,0.282032,0.048758
0,16,10000,2500,1.000000,0.525933,0.281314,0.048549
1,16,10000,2500,1.000000,0.527479,0.280547,0.047983
2,16,10000,2500,1.000000,0.531599,0.283296,0.048819
0,32,10000,2500,1.000000,0.522389,0.285741,0.048499
1,32,10000,2500,1.000000,0.523008,0.285354,0.048048
2,32,10000,2500,1.000000,0.521782,0.282438,0.048320
